StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,GEN_01,GEN_02,GEN_03,GEN_03_01,GEN_03_02,GEN_04_1,GEN_04_2,GEN_04_3,GEN_04_4,GEN_04_5,GEN_05_1,GEN_05_2,GEN_05_3,GEN_05_4,GEN_05_5,GEN_05_6,GEN_05_7,GEN_05_8,GEN_05_9,GEN_05_10,WEB_01,WEB_01_01,WEB_01_02,WEB_02,WEB_02_5_TEXT,WEB_03,WEB_03_6_TEXT,WEB_04,WEB_05,WEB_06,WEB_07,WEB_08,WEB_09,WEB_10,WEB_11,WEB_12,DEMO_01,DEMO_02,DEMO_03
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I was offered admission to the following graduate program(s) at the UW Information School. Please select all that apply.,What is your student status? Please select all that apply.,Would you need to relocate to the Seattle area to pursue your degree?,"How equipped do you feel to relocate to the Seattle area? (1= Unequipped, 5 = Very Equipped)","What are your main considerations when making the decision to relocate? (For example: quality of program, housing cost, job market, or family concerns)","How familiar are you with the following topics? (1 = I know nothing about this topic, 5 = Very Familiar with this topic) - The UW Information School","How familiar are you with the following topics? (1 = I know nothing about this topic, 5 = Very Familiar with this topic) - The University of Washington","How familiar are you with the following topics? (1 = I know nothing about this topic, 5 = Very Familiar with this topic) - Graduate School","How familiar are you with the following topics? (1 = I know nothing about this topic, 5 = Very Familiar with this topic) - In-person learning","How familiar are you with the following topics? (1 = I know nothing about this topic, 5 = Very Familiar with this topic) - Online learning","Please rate the following features based on how important they are to you when choosing a graduate program (1 = Not Important, 5 = Very Important) - Career Services","Please rate the following features based on how important they are to you when choosing a graduate program (1 = Not Important, 5 = Very Important) - Curriculum","Please rate the following features based on how important they are to you when choosing a graduate program (1 = Not Important, 5 = Very Important) - Faculty","Please rate the following features based on how important they are to you when choosing a graduate program (1 = Not Important, 5 = Very Important) - Financial Aid","Please rate the following features based on how important they are to you when choosing a graduate program (1 = Not Important, 5 = Very Important) - Housing","Please rate the following features based on how important they are to you when choosing a graduate program (1 = Not Important, 5 = Very Important) - Industry partnerships & job placement","Please rate the following features based on how important they are to you when choosing a graduate program (1 = Not Important, 5 = Very Important) - Location","Please rate the following features based on how important they are to you when choosing a graduate program (1 = Not Important, 5 = Very Important) - Research Opportunities","Please rate the following features based on how important they are to you when choosing a graduate program (1 = Not Important, 5 = Very Important) - School Reputation (e.g., Ranking)","Please rate the following features based on how important they are to you when choosing a graduate program (1 = Not Important, 5 = Very Important) - Tuition","Prior to this survey, did you have any experience using the website linked above?",What information were you seeking when you used this website prior to this survey?,What prevented you from using the site prior to this survey?,"After receiving your offer of admission, what information did you seek out to prepare for your first term? - Selected Choice","After receiving your offer of admission, what information did you seek out to prepare for your first term? - Other (Please specify) - Text",What information or resources helped you to prepare for your first term in your graduate program(s)? Please select all that apply. - Selected Choice,What information or resources helped you to prepare for your first term in your graduate program(s)? Please select all that apply. - Other (Please specify) - Text,"On a scale of strongly disagree to strongly agree, how much do you agree with this statement: It was easy to navigate the iSchool website to find the information I was seeking.","Thinking about your experience on this website today, were there any features that made it difficult to navigate the site?","On a scale of strongly disagree to strongly agree, how much do you agree with this statement: The information on this website is helpful to newly admitted students","On a scale of strongly disagree to strongly agree, how much do you agree with this statement: The website is missing information that would be helpful to new students","On a scale of strongly disagree to strongly agree, how much do you agree with this statement: I was able to find all the information a new student would need on the website","Thinking about your experience on this website today, is there any specific information that you feel would be helpful to add to this site?","On a scale of strongly disagree to strongly agree, how much do you agree with this statement: The website makes me excited about the iSchool Graduate programs","On a scale of strongly disagree to strongly agree, how much do you agree with this statement: The website would help a new student to decide if the iSchool was right for them",Is there anything else you'd like to share that wasn't asked in this survey?,Are you an International Student?,Are you a first generation college student?,What are your primary goals after graduate school? Please select only one response.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID47""}","{""ImportId"":""QID57""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID48_6""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID25_6""}","{""ImportId"":""QID25_9""}","{""ImportId"":""QID25_10""}","{""ImportId"":""QID25_4""}","{""ImportId"":""QID25_5""}","{""ImportId"":""QID25_7""}","{""ImportId"":""QID25_8""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID79""}","{""ImportId"":""QID79_5_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID59_6_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID77_TEXT""}","{""ImportId"":""QID73""}","{""ImportId"":""QID72""}","{""ImportId"":""QID76""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID74""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID24""}","{""ImportId"":""QID35""}"
2025-02-23 13:30:40,2025-02-23 13:30:40,2,,100,0,1,2025-02-23 13:30:40,R_8kRmxiJQZA9ITzM,,,,,,,test,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-23 13:30:40,2025-02-23 13:30:40,2,,100,0,1,2025-02-23 13:30:40,R_3qTedB5Z7J56je6,,,,,,,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-23 13:30:41,2025-02-23 13:30:41,2,,100,0,1,2025-02-23 13:30:41,R_0PP5pUYwsPcfyJw,,,,,,,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-23 13:30:41,2025-02-23 13:30:41,2,,100,0,1,2025-02-23 13:30:41,R_8k3A6HucbIuyCbA,,,,,,,test,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-23 13:30:41,2025-02-23 13:30:41,2,,100,0,1,2025-02-23 13:30:41,R_8owlgdnlcnGnvPo,,,,,,,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-23 13:30:41,2025-02-23 13:30:41,2,,100,0,1,2025-02-23 13:30:41,R_bynhYbkRGj3oTau,,,,,,,test,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-23 13:30:41,2025-02-23 13:30:41,2,,100,0,1,2025-02-23 13:30:41,R_1SLI61mHkt9hxkO,,,,,,,test,,1,5,2,,,4,1,4,4,5,4,3,2,4,5,3,4,3,4,3,2,,5,,,"5,2,3,6",Augue. Elit tempora placerat erat velit? Dapibus gravida cras a donec temporibus erat nulla.,4,Ipsum tellus. Sapien! Est arcu. Odio sem eros tincidunt? Convallis primis.,5,2,4,Vestibulum ultricies facilisis vel eu porttitor mi consectetuer nonummy elit dapibus.,1,4,Urna odio elit eros etiam per magnis in rhoncus rutrum leo mattis.,1,3,1
2025-02-23 13:30:41,2025-02-23 13:30:41,2,,100,0,1,2025-02-23 13:30:41,R_0JqAlOmuLtZ6E8C,,,,,,,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
